"name","humanDevelopmentIndex","pop2019"
"Norway","0.9530","5378.8570"
"Switzerland","0.9440","8591.3650"
"Australia","0.9390","25203.1980"
"Ireland","0.9380","4882.4950"
"Germany","0.9360","83517.0450"
"Iceland","0.9350","339.0310"
"Sweden","0.9330","10036.3790"
"Hong Kong","0.9330","7436.1540"
"Singapore","0.9320","5804.3370"
"Netherlands","0.9310","17097.1300"
"Denmark","0.9290","5771.8760"
"Canada","0.9260","37411.0470"
"United States","0.9240","329064.9170"
"United Kingdom","0.9220","67530.1720"
"Finland","0.9200","5532.1560"
"New Zealand","0.9170","4783.0630"
"Belgium","0.9160","11539.3280"
"Liechtenstein","0.9160","38.0190"
"Japan","0.9090","126860.3010"
"Austria","0.9080","8955.1020"
"Luxembourg","0.9040","615.7290"
"South Korea","0.9030","51225.3080"
"Israel","0.9030","8519.3770"
"France","0.9010","65129.7280"
"Slovenia","0.8960","2078.6540"
"Spain","0.8910","46736.7760"
"Czech Republic","0.8880","10689.2090"
"Italy","0.8800","60550.0750"
"Malta","0.8780","440.3720"
"Estonia","0.8710","1325.6480"
"Greece","0.8700","10473.4550"
"Cyprus","0.8690","1198.5750"
"Poland","0.8650","37887.7680"
"United Arab Emirates","0.8630","9770.5290"
"Lithuania","0.8580","2759.6270"
"Andorra","0.8580","77.1420"
"Qatar","0.8560","2832.0670"
"Slovakia","0.8550","5457.0130"
"Brunei","0.8530","433.2850"
"Saudi Arabia","0.8530","34268.5280"
"Portugal","0.8470","10226.1870"
"Latvia","0.8470","1906.7430"
"Bahrain","0.8460","1641.1720"
"Chile","0.8430","18952.0380"
"Hungary","0.8380","9684.6790"
"Croatia","0.8310","4130.3040"
"Argentina","0.8250","44780.6770"
"Oman","0.8210","4974.9860"
"Russia","0.8160","145872.2560"
"Montenegro","0.8140","627.9870"
"Bulgaria","0.8130","7000.1190"
"Romania","0.8110","19364.5570"
"Belarus","0.8080","9452.4110"
"Bahamas","0.8070","389.4820"
"Uruguay","0.8040","3461.7340"
"Kuwait","0.8030","4207.0830"
"Malaysia","0.8020","31949.7770"
"Barbados","0.8000","287.0250"
"Kazakhstan","0.8000","18551.4270"
"Palau","0.7980","18.0080"
"Iran","0.7980","82913.9060"
"Seychelles","0.7970","97.7390"
"Costa Rica","0.7940","5047.5610"
"Turkey","0.7910","83429.6150"
"Mauritius","0.7900","1269.6680"
"Panama","0.7890","4246.4390"
"Serbia","0.7870","8772.2350"
"Albania","0.7850","2880.9170"
"Trinidad and Tobago","0.7840","1394.9730"
"Antigua and Barbuda","0.7800","97.1180"
"Georgia","0.7800","3996.7650"
"Saint Kitts and Nevis","0.7780","52.8230"
"Cuba","0.7770","11333.4830"
"Mexico","0.7740","127575.5290"
"Grenada","0.7720","112.0030"
"Sri Lanka","0.7700","21323.7330"
"Bosnia and Herzegovina","0.7680",3301
"Venezuela","0.7610","28515.8290"
"Brazil","0.7590","211049.5270"
"Lebanon","0.7570","6855.7130"
"Azerbaijan","0.7570","10047.7180"
"Thailand","0.7550","69625.5820"
"Armenia","0.7550","2957.7310"
"Algeria","0.7540","43053.0540"
"Ecuador","0.7520","17373.6620"
"China","0.7520","1433783.6860"
"Ukraine","0.7510","43993.6380"
"Peru","0.7500","32510.4530"
"Saint Lucia","0.7470","182.7900"
"Colombia","0.7470","50339.4430"
"Mongolia","0.7410","3225.1670"
"Fiji","0.7410","889.9530"
"Dominican Republic","0.7360","10738.9580"
"Tunisia","0.7350","11694.7190"
"Jordan","0.7350","10101.6940"
"Jamaica","0.7320","2948.2790"
"Tonga","0.7260","104.4940"
"Saint Vincent and the Grenadines","0.7230","110.5890"
"Suriname","0.7200","581.3720"
"Botswana","0.7170","2303.6970"
"Maldives","0.7170","530.9530"
"Dominica","0.7150","71.8080"
"Samoa","0.7130","197.0970"
"Uzbekistan","0.7100","32981.7160"
"Belize","0.7080","390.3530"
"Marshall Islands","0.7080","58.7910"
"Turkmenistan","0.7060","5942.0890"
"Libya","0.7060","6777.4520"
"Paraguay","0.7020","7044.6360"
"Gabon","0.7020","2172.5790"
"Moldova","0.7000","4043.2630"
"South Africa","0.6990","58558.2700"
"Philippines","0.6990","108116.6150"
"Egypt","0.6960","100388.0730"
"Vietnam","0.6940","96462.1060"
"Indonesia","0.6940","270625.5680"
"Bolivia","0.6930","11513.1000"
"Palestine","0.6860","4981.4200"
"Iraq","0.6850","39309.7830"
"El Salvador","0.6740","6453.5530"
"Kyrgyzstan","0.6720","6415.8500"
"Morocco","0.6670","36471.7690"
"Nicaragua","0.6580","6545.5020"
"Guyana","0.6540","782.7660"
"Cape Verde","0.6540","549.9350"
"Tajikistan","0.6500","9321.0180"
"Guatemala","0.6500","17581.4720"
"Namibia","0.6470","2494.5300"
"India","0.6400","1366417.7540"
"Micronesia","0.6270","113.8150"
"Timor-Leste","0.6250","1293.1190"
"Honduras","0.6170","9746.1170"
"Bhutan","0.6120","763.0920"
"Kiribati","0.6120","117.6060"
"Bangladesh","0.6080","163046.1610"
"Republic of the Congo","0.6060","5380.5080"
"Vanuatu","0.6030","299.8820"
"Laos","0.6010","7169.4550"
"Ghana","0.5920","30417.8560"
"Equatorial Guinea","0.5910","1355.9860"
"Kenya","0.5900","52573.9730"
"Sao Tome and Principe","0.5890","215.0560"
"Zambia","0.5880","17861.0300"
"Cambodia","0.5820","16486.5420"
"Angola","0.5810","31825.2950"
